id,linkName,inflow,outflow,spawns,despawns,maxQueueLength,junctionId,junctionName,orientation
0,-E0,0.013716697441308361,0.0,0.0,0.013716697441308361,12.706666666666667,,,
1,-E1,0.041941440253231335,0.044579266684252175,0.013452914798206279,0.010815088367185439,11.746666666666666,0.0,J1,1.0
2,-E10,0.06119757319968346,0.06805592192033764,0.018728567660247955,0.011870218939593774,11.746666666666666,1.0,J2,0.0
3,-E11,0.0,0.0163545238723292,0.0163545238723292,0.0,12.706666666666667,3.0,J6,0.0
4,-E2,0.0,0.015826958586125033,0.015826958586125033,0.0,12.706666666666667,1.0,J2,1.0
5,-E3,0.013452914798206279,0.0,0.0,0.013452914798206279,12.706666666666667,,,
6,-E4,0.061461355842785545,0.06831970456343972,0.019783698232656292,0.01292534951200211,11.746666666666666,2.0,J5,1.0
7,-E5,0.0,0.020575046161962544,0.020575046161962544,0.0,12.706666666666667,3.0,J6,1.0
8,-E6,0.016090741229227115,0.0,0.0,0.016090741229227115,12.706666666666667,,,
9,-E7,0.08124505407544183,0.0836190978633606,0.017409654444737535,0.015035610656818781,11.746666666666666,0.0,J1,0.0
10,-E8,0.0,0.038248483249802165,0.038248483249802165,0.0,12.706666666666667,2.0,J5,0.0
11,-E9,0.01160643629649169,0.0,0.0,0.01160643629649169,12.706666666666667,,,
12,E0,0.0,0.0163545238723292,0.0163545238723292,0.0,12.706666666666667,0.0,J1,1.0
13,E1,0.08652070693748351,0.0965444473753627,0.019783698232656292,0.009759957794777103,11.746666666666666,1.0,J2,1.0
14,E10,0.06409918227380638,0.06304405170139805,0.013980480084410446,0.015035610656818781,11.746666666666666,3.0,J6,0.0
15,E11,0.01899235030335004,0.0,0.0,0.01899235030335004,12.706666666666667,,,
16,E2,0.08309153257715643,0.0,0.0,0.08309153257715643,12.706666666666667,,,
17,E3,0.0,0.012397784225797943,0.012397784225797943,0.0,12.706666666666667,2.0,J5,1.0
18,E4,0.05671326826694804,0.0572408335531522,0.010815088367185439,0.010287523080981272,11.746666666666666,3.0,J6,1.0
19,E5,0.01556317594302295,0.0,0.0,0.01556317594302295,12.706666666666667,,,
20,E6,0.0,0.020047480875758375,0.020047480875758375,0.0,12.706666666666667,0.0,J1,0.0
21,E7,0.04827222368768135,0.04879978897388552,0.011870218939593774,0.011342653653389607,11.746666666666666,2.0,J5,0.0
22,E8,0.0163545238723292,0.0,0.0,0.0163545238723292,12.706666666666667,,,
23,E9,0.0,0.020311263518860458,0.020311263518860458,0.0,12.706666666666667,1.0,J2,0.0
